"Name","Average.User.Rating","User.Rating.Count","Price","Developer","Age.Rating","Languages","Size","Primary.Genre","Genres"
"73","Psarakia (Ice Fishing)",3.5,13,2.99,"CrazySoft Limited","4+","EN",4922368,"Games","Games, Entertainment, Puzzle, Strategy"
"74","Shogi Demon",3.5,27,2.99,"NUTRACTOR","17+","EN, JA",20957184,"Games","Games, Strategy, Board"
"75","Tiki Towers LITE",3.5,29495,0,"GameHouse","9+","EN, FR, DE, IT, ES",39453539,"Games","Games, Entertainment, Strategy, Puzzle"
"76","Gun Runner +",2.5,5462,0,"CUBIC digital","9+","EN",14125056,"Games","Games, Entertainment, Adventure, Strategy"
"77","Polycubes",3.5,19,0,"Voxeloid Kft.","4+","EN",4472832,"Games","Games, Strategy, Entertainment, Puzzle"
"78","Port Defender\xae - 2D Field Defense",3.5,860,0,"Michael Fuller","9+","EN",84364288,"Games","Games, Strategy, Action, Entertainment"
"79","\"Sally's Spa\"",4.5,35199,2.99,"Games Cafe Inc.","4+","EN, FR, DE, IT, ES",500501504,"Games","Games, Strategy, Entertainment, Action"
"80","Port Defender\xae Lite - 2D Field Defense",3,5013,0,"Michael Fuller","9+","EN",54787072,"Games","Games, Strategy, Action, Entertainment"
"81","\"Tap 'n' Pop Classic: Balloon Group Remove\"",3.5,1119,2.99,"Software River Solutions, Inc","4+","EN",8881152,"Games","Games, Entertainment, Strategy, Puzzle"
"82","Conquest (+ all maps)",3.5,2606,4.99,"\"Sean O'Connor\"","9+","EN",107105280,"Games","Games, Board, Strategy"
"83","Shredder Chess",4.5,863,3.99,"Eiko Bleicher, Skizzix.com","4+","EN, DE",33033216,"Games","Games, Board, Education, Strategy"
"84","Wordology Lite",3,1926,0,"Cerebral Gardens","4+","EN",108253184,"Games","Games, Strategy, Entertainment, Word"
"85","Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848,0,"Savy Soda","4+","ZH, EN",1326164,"Games","Games, Strategy, Board"
"86","\"Tap 'n' Pop Classic (Lite): Balloon Group Remove\"",3,24821,0,"Software River Solutions, Inc","4+","EN",14717952,"Games","Games, Entertainment, Puzzle, Strategy"
"87","Tournament Reversi Free",3.5,2503,0,"Futrell Software","4+","EN",2582857,"Games","Games, Board, Strategy, Entertainment"
"88","Bloons",4,16693,0.99,"Ninja Kiwi","4+","EN",5500291,"Games","Games, Strategy, Puzzle"
"89","Chess \u2219",3.5,191081,0,"Optime Software LLC","4+","EN",65303552,"Games","Games, Strategy, Entertainment, Board"
"90","Chess Premium",4,2767,1.99,"Optime Software LLC","4+","EN",30746624,"Games","Games, Entertainment, Board, Strategy"
"91","UniWar: Multiplayer Strategy",3.5,14073,0,"SH Limited","9+","AR, ZH, CS, EN, FR, DE, IT, JA, PL, PT, RU, ES, TR",115074048,"Games","Games, Entertainment, Strategy, Role Playing"
"92","Pocket Tanks Deluxe",4.5,5543,4.99,"Blitwise Productions, LLC","9+","EN",39997440,"Games","Games, Family, Strategy, Entertainment"
"93","Castle Smasher",3,12659,0.99,"Donut Games","4+","EN",10308608,"Games","Games, Strategy, Action"
"94","Pocket Tanks",4,90386,0,"Blitwise Productions, LLC","9+","EN",43073536,"Games","Games, Strategy, Family, Entertainment"
"95","Inverti",3,40,0,"Frank LaRosa","4+","EN",2004992,"Games","Games, Board, Strategy"
"96","Crystal Mine",2,353,0,"Modular Dreams Inc","4+","EN",2818386,"Games","Games, Casual, Strategy"
"97","Nerve",2.5,47,0,"Mahboud Zabetian","4+","EN",6994639,"Games","Games, Strategy"
"98","Pebbles",3,866,0,"Objective Development","4+","EN, DE",10136576,"Games","Games, Strategy, Board, Entertainment"
